Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
22	0.0	10.0	10.0	-10.0	78.276596	0.017972425	4.2336216	14.799176	-15.05423	92000	-0.08665067	-0.0050458857	38.97737	-0.28720155	0.09638554	0.09638554	0.86650676	0.0012794306	0.02612939	79.0	171.75218963623047
23	0.0	10.0	10.0	-10.0	76.297874	0.0028280276	4.263348	13.962405	-12.894603	96000	-0.08582476	-0.004781785	38.672787	-0.27677155	0.09638554	0.09638554	0.8582475	0.0018633213	0.024201283	79.0	175.33549880981445
24	0.0	10.0	10.0	-10.0	71.86	0.00015417497	3.947265	13.729538	-13.24667	100000	-0.085032135	-0.0046856836	38.458622	-0.27803865	0.09638554	0.09638554	0.8503216	0.0015509058	0.022867868	79.0	178.95340943336487
25	0.0	10.0	10.0	-10.0	73.0	0.01551903	4.0102444	13.836495	-12.977846	104000	-0.084313095	-0.004567001	38.21302	-0.29813194	0.09638554	0.09638554	0.8431309	0.00069815264	0.021858396	79.0	182.59291219711304
26	0.0	10.0	10.0	-10.0	96.297295	0.01519505	3.817067	11.531543	-11.377281	108000	-0.08362633	-0.004498828	37.770763	-0.2795461	0.09638554	0.09638554	0.83626336	0.0010949544	0.021850556	79.0	186.2583475112915
27	0.0	10.0	10.0	-10.0	95.81579	0.019278161	3.7177365	13.081296	-12.25532	112000	-0.08283991	-0.0043869526	37.422226	-0.25043425	0.09638554	0.09638554	0.828399	0.0008449247	0.021119332	79.0	189.9970841407776
28	0.0	10.0	10.0	-10.0	104.08572	0.035646513	3.658813	13.636625	-12.012071	116000	-0.08215858	-0.004295671	37.06221	-0.22092374	0.09638554	0.09638554	0.82158583	0.0017359344	0.020429913	79.0	193.77002573013306
29	0.0	10.0	10.0	-10.0	88.15	0.0091364	3.4876337	12.23026	-12.1823845	120000	-0.08135774	-0.004257668	36.741726	-0.18924904	0.09638554	0.09638554	0.8135775	0.0008688383	0.019865697	79.0	197.56771397590637
30	0.0	10.0	10.0	-10.0	98.63158	0.013069363	3.4325867	11.920647	-12.59917	124000	-0.080610886	-0.004166478	36.421734	-0.17116801	0.21887551	0.22590363	0.8061088	0.00017262473	0.01919258	79.0	289.92331981658936
31	0.0	10.0	10.0	-10.0	98.0	0.020076873	3.3084245	12.602408	-11.015728	128000	-0.0798876	-0.004071448	36.075863	-0.1475137	0.21887551	0.22590363	0.7988762	0.00016363677	0.018678835	79.0	294.0714979171753
32	0.0	10.0	10.0	-10.0	105.4375	0.0006898139	3.1482491	11.783308	-10.855487	132000	-0.07921905	-0.0040908395	35.694454	-0.12460264	0.21887551	0.22590363	0.7921904	0.00020614208	0.018882519	79.0	298.30565094947815
33	0.0	10.0	10.0	-10.0	98.8421	0.00072249374	2.9636474	11.303	-10.988975	136000	-0.07851988	-0.0040814816	35.49645	-0.10979334	0.21887551	0.22590363	0.7851987	0.00073393155	0.019158864	79.0	302.71838760375977
34	0.0	10.0	10.0	-10.0	114.03333	0.0023328837	3.0925415	12.13918	-11.938939	140000	-0.07779474	-0.004019793	35.14277	-0.09844208	0.21887551	0.22590363	0.7779475	0.0008265961	0.019480195	79.0	307.20506596565247
35	0.0	10.0	10.0	-10.0	134.03847	-0.009415877	2.8043237	11.89609	-11.44749	144000	-0.07711089	-0.003985683	34.788406	-0.0842069	0.21887551	0.22590363	0.7711088	0.0005093325	0.018831331	79.0	311.6453197002411
36	0.0	10.0	10.0	-10.0	144.41667	-0.012324462	2.8805132	10.498298	-10.478538	148000	-0.076417215	-0.003937936	34.428593	-0.07527987	0.21887551	0.22590363	0.76417226	0.00027676136	0.018954767	79.0	316.5597777366638
37	0.0	10.0	10.0	-10.0	166.65	-0.01742648	2.7920525	11.332769	-11.163521	152000	-0.07575852	-0.003962287	34.024902	-0.06772995	0.21887551	0.22590363	0.7575852	0.0006207324	0.019417444	79.0	321.3562562465668
38	0.0	10.0	10.0	-10.0	120.965515	-0.01089071	2.6931844	11.41178	-11.068428	156000	-0.075135134	-0.003925798	33.756702	-0.061838787	0.21887551	0.22590363	0.7513511	0.0006527439	0.019201895	79.0	325.86858654022217
39	0.0	10.0	10.0	-10.0	121.296295	-0.014552588	2.6619422	10.98814	-10.971202	160000	-0.07452381	-0.0039371527	33.465366	-0.059500378	0.21887551	0.22590363	0.745238	0.00038350176	0.018981481	79.0	330.8294689655304
40	0.0	10.0	10.0	-10.0	156.52632	-0.034900464	2.4591084	10.247428	-10.562879	164000	-0.073871605	-0.0038800153	33.07992	-0.058238983	0.4126506	0.49748993	0.7387159	-1.09534785e-05	0.019015966	79.0	497.3215754032135
41	0.0	10.0	10.0	-10.0	116.0	-0.013310612	2.6232736	11.278535	-11.772333	168000	-0.07322324	-0.0038740623	32.820354	-0.056784946	0.4126506	0.49748993	0.7322324	0.0003456259	0.018706208	79.0	502.14732336997986
42	0.0	10.0	10.0	-10.0	125.26923	-0.011829895	2.5897398	14.3213005	-10.672651	172000	-0.072626166	-0.0038508426	32.5868	-0.056406975	0.4126506	0.49748993	0.7262616	0.0008200975	0.018349746	79.0	507.344167470932
43	0.0	10.0	10.0	-10.0	126.60714	-0.0075220284	2.6455336	11.5026455	-11.779227	176000	-0.07199458	-0.0038459674	32.377567	-0.05666828	0.4126506	0.49748993	0.7199457	0.0009478459	0.018782988	79.0	512.729101896286
44	0.0	10.0	10.0	-10.0	161.7619	-0.016485637	2.4348001	11.974285	-11.629952	180000	-0.07137649	-0.0038370986	32.049088	-0.057395298	0.4126506	0.49748993	0.71376485	0.00043772938	0.018910578	79.0	518.1810054779053
45	0.0	10.0	10.0	-10.0	189.11765	-0.014806189	2.6227424	10.906767	-11.491848	184000	-0.07072763	-0.0038390942	31.725447	-0.05703163	0.4126506	0.49748993	0.70727634	0.0009830062	0.018978218	79.0	523.5930714607239
46	0.0	10.0	10.0	-10.0	150.0	-0.005417669	2.2770934	10.647743	-10.872963	188000	-0.07013151	-0.0038756554	31.470732	-0.057153065	0.4126506	0.49748993	0.701315	0.00077806675	0.01924531	79.0	528.9165942668915
47	0.0	10.0	10.0	-10.0	152.1579	-0.011268085	2.379267	10.557955	-11.414208	192000	-0.06951941	-0.003852093	31.172049	-0.05915006	0.4126506	0.49748993	0.69519395	-0.00011739029	0.01884958	79.0	534.3995535373688
48	0.0	10.0	10.0	-10.0	164.75	-0.008103442	2.3448613	11.51209	-11.370675	196000	-0.06894023	-0.0038508873	30.865417	-0.062053364	0.4126506	0.49748993	0.6894023	-5.509287e-05	0.019008806	79.0	539.9367871284485
49	0.0	10.0	10.0	-10.0	165.4	-0.050267756	2.3364289	11.112766	-10.816498	200000	-0.0684281	-0.0038133226	30.597733	-0.07030296	0.4126506	0.49748993	0.68428105	0.00027782557	0.018693695	79.0	545.5418021678925
50	0.0	10.0	10.0	-10.0	139.30435	0.007028329	2.5589914	10.290827	-10.9711895	204000	-0.06786978	-0.003839155	30.342552	-0.07445272	0.40361443	0.58232933	0.6786978	0.00019390788	0.019718248	79.0	751.8415923118591
51	0.0	10.0	10.0	-10.0	141.73914	-0.00014443333	2.2973444	10.354092	-11.100776	208000	-0.06731958	-0.003837907	30.104158	-0.07858181	0.40361443	0.58232933	0.67319584	0.00038338438	0.019733677	79.0	757.1539621353149
52	0.0	10.0	10.0	-10.0	156.95238	-0.0014608254	2.181614	11.813183	-11.184367	212000	-0.06678567	-0.003815708	29.848442	-0.08330981	0.40361443	0.58232933	0.6678569	0.00094781263	0.0202986	79.0	762.9368724822998
53	0.0	10.0	10.0	-10.0	178.11765	-0.010254058	2.3636687	10.453674	-10.9221735	216000	-0.066242024	-0.0038025316	29.553984	-0.089840256	0.40361443	0.58232933	0.6624202	0.00016282743	0.020184536	79.0	768.6829099655151
54	0.0	10.0	10.0	-10.0	138.20833	0.0051260213	2.4307182	11.604726	-11.875018	220000	-0.065759726	-0.0037998098	29.32157	-0.096930824	0.40361443	0.58232933	0.6575973	0.0007655041	0.020076895	79.0	774.411031961441
55	0.0	10.0	10.0	-10.0	162.95454	0.017920574	2.2868621	11.055405	-11.516477	224000	-0.06527524	-0.0038168516	29.079512	-0.10238489	0.40361443	0.58232933	0.65275246	0.00028929996	0.019211175	79.0	780.379302740097
56	0.0	10.0	10.0	-10.0	166.57895	-0.0031751473	2.2850277	11.520809	-12.50615	228000	-0.06481437	-0.0038351007	28.791855	-0.101882614	0.40361443	0.58232933	0.64814377	0.0004613319	0.01972367	79.0	786.2442917823792
57	0.0	10.0	10.0	-10.0	214.125	-0.0075063743	2.2941926	11.546123	-11.652177	232000	-0.06440299	-0.003836197	28.494856	-0.09548823	0.40361443	0.58232933	0.64403003	0.0007063245	0.018844275	79.0	792.148678779602
58	0.0	10.0	10.0	-10.0	191.0	-0.022003772	2.4315257	10.964651	-12.148526	236000	-0.06399364	-0.0038484212	28.231546	-0.09034189	0.40361443	0.58232933	0.6399364	0.0005089776	0.019006295	79.0	797.7872669696808
59	0.0	10.0	10.0	-10.0	145.80952	0.0016051043	2.4309275	13.307832	-12.01132	240000	-0.063617714	-0.003876676	27.998983	-0.08527374	0.40361443	0.58232933	0.63617724	0.0005212738	0.018724974	79.0	803.7551119327545
60	0.0	10.0	10.0	-10.0	170.63158	0.014107614	2.427916	10.687582	-12.153612	244000	-0.063246064	-0.0038776628	27.786453	-0.076038994	0.44176707	0.61044174	0.6324608	0.00038932738	0.018893894	79.0	999.0153758525848
61	0.0	9.701425	10.0	-10.0	207.52942	-0.016264115	2.3743196	12.300263	-12.333177	248000	-0.062833965	-0.0038535756	27.504732	-0.0672973	0.44176707	0.61044174	0.62833977	0.00037934477	0.018607318	79.0	1005.0167376995087
62	0.0	10.0	10.0	-10.0	191.27777	0.007482905	2.4389622	12.441666	-12.609694	252000	-0.062384605	-0.0038564615	27.29574	-0.05888462	0.44176707	0.61044174	0.6238461	0.00072009116	0.018536394	79.0	1011.3082473278046
63	0.0	10.0	10.0	-10.0	163.5	0.056844205	2.3487368	12.319898	-12.934248	256000	-0.061982986	-0.0038946874	27.110727	-0.05645148	0.44176707	0.61044174	0.6198299	0.00036322148	0.018428585	79.0	1017.4263398647308
64	0.0	10.0	10.0	-10.0	180.27777	-0.008316717	2.4046292	11.55548	-12.894239	260000	-0.061558004	-0.0038530428	26.932714	-0.04786269	0.44176707	0.61044174	0.61558	0.00067153806	0.018764919	79.0	1023.732225894928
65	0.0	10.0	10.0	-10.0	131.7037	0.00835544	2.55417	12.805858	-12.532401	264000	-0.061138973	-0.0038465206	26.835787	-0.04248206	0.44176707	0.61044174	0.6113897	0.00027962675	0.01829481	79.0	1030.3555018901825
66	0.0	10.0	10.0	-10.0	172.13637	0.0074923956	2.5083182	12.462907	-12.555641	268000	-0.06076559	-0.0038251735	26.691336	-0.039444286	0.44176707	0.61044174	0.60765576	-0.0005056493	0.018582014	79.0	1036.8566918373108
67	0.0	10.0	10.0	-10.0	141.52174	-0.01213282	2.5406523	12.83885	-12.941975	272000	-0.060361683	-0.0037921544	26.553543	-0.036667187	0.44176707	0.61044174	0.6036167	0.00013994504	0.018334512	79.0	1043.4166288375854
68	0.0	10.0	10.0	-10.0	155.0	-0.0018980396	2.482292	12.638286	-12.447846	276000	-0.059975874	-0.0038064488	26.409111	-0.033693314	0.44176707	0.61044174	0.59975857	0.00025127453	0.018329924	79.0	1049.8857345581055
69	0.0	10.0	10.0	-10.0	166.7	0.021437377	2.4438548	11.896175	-13.205771	280000	-0.059596363	-0.0038118127	26.267054	-0.032366753	0.44176707	0.61044174	0.59596354	4.0620038e-05	0.018320106	79.0	1056.3584344387054
70	0.0	10.0	10.0	-10.0	158.65	0.014341969	2.7130783	12.61199	-15.175456	284000	-0.059235614	-0.0038084406	26.123383	-0.030577024	0.43775102	0.6004016	0.59235615	0.00046471079	0.018211875	79.0	1253.605898141861
71	0.0	10.0	10.0	-10.0	175.5	0.0044578766	2.6428442	12.635018	-12.260258	288000	-0.05889179	-0.0037798174	26.010614	-0.027737617	0.43775102	0.6004016	0.588918	5.4087835e-05	0.017769506	79.0	1260.3038861751556
