Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	10.0	10.0	-10.0	22.719297	0.0050411993	0.15684542	0.44466412	-0.4307397	4000	-0.10781759	-0.0025085844	72.774796	-16.726912	0.008032128	0.008032128	1.078176	0.0033730625	0.020145146	79.0	19.84297752380371
1	0.0	10.0	10.0	-10.0	23.603659	-0.0008879635	3.947123	7.1942434	-7.136097	8000	-0.10849675	-0.0022144604	56.63841	-1.9578876	0.008032128	0.008032128	1.0849675	0.0040258723	0.017017016	79.0	22.60243582725525
2	0.0	10.0	10.0	-10.0	20.784946	-0.00033664063	4.0652475	7.617372	-7.6504645	12000	-0.10868909	-0.0016331524	54.611317	-0.8409564	0.008032128	0.008032128	1.0868908	0.0024152326	0.018268269	79.0	25.441910982131958
3	0.0	10.0	10.0	-10.0	25.678082	0.0002707201	4.0574675	8.328963	-8.395311	16000	-0.10850474	-0.0019061379	54.145863	-0.3602384	0.008032128	0.008032128	1.0850472	0.0026304827	0.010322823	79.0	28.272456407546997
4	0.0	10.0	10.0	-10.0	25.431372	-0.002104266	4.1486797	7.8970284	-7.962909	20000	-0.10841004	-0.002349573	54.706776	-0.6525345	0.008032128	0.008032128	1.0841004	0.0041633775	0.010585587	79.0	31.170303344726562
5	0.0	10.0	10.0	-10.0	28.102942	0.004182881	3.8343205	7.2348423	-7.1518426	24000	-0.107699834	-0.0037860945	54.37143	-0.81974536	0.008032128	0.008032128	1.0769981	0.0044111875	0.02729813	79.0	34.098801612854004
6	0.0	10.0	10.0	-10.0	25.96	0.0076625324	3.7371979	6.862014	-6.502857	28000	-0.106569596	-0.0046096668	53.80458	-1.1375974	0.008032128	0.008032128	1.0656958	0.0045275767	0.029726155	79.0	37.04785227775574
7	0.0	10.0	10.0	-10.0	26.894365	-0.0095468685	3.7792888	7.205757	-6.8386674	32000	-0.10508109	-0.0049987077	53.18913	-1.5673084	0.008032128	0.008032128	1.050811	0.006261638	0.029341841	79.0	40.04189682006836
8	0.0	10.0	10.0	-10.0	33.147827	-0.012721692	3.5777762	9.869509	-9.754987	36000	-0.10329628	-0.0052340715	52.60033	-1.4753183	0.008032128	0.008032128	1.0329629	0.0016743048	0.030196866	79.0	43.203126192092896
9	0.0	10.0	10.0	-10.0	36.99	-0.03482786	3.505661	10.85183	-11.017395	40000	-0.10145631	-0.0058362707	51.30852	-1.8102169	0.008032128	0.008032128	1.0145632	0.0021453847	0.032019522	79.0	46.48261618614197
10	0.0	10.0	10.0	-10.0	36.942856	-0.006827448	3.4366646	11.888955	-11.92463	44000	-0.09969089	-0.0061242706	50.219574	-2.9537315	0.030120483	0.030120483	0.99690896	0.0024975766	0.030678406	79.0	75.37906074523926
11	0.0	10.0	10.0	-10.0	40.9011	-0.033703633	3.4109075	10.750603	-10.874782	48000	-0.09822768	-0.006865921	47.564655	-4.154013	0.030120483	0.030120483	0.98227674	0.0032372514	0.0338672	79.0	78.63720631599426
12	0.0	10.0	10.0	-10.0	43.31111	0.011003925	3.6387663	13.270929	-13.294212	52000	-0.09689468	-0.0072382153	44.16734	-3.9575589	0.030120483	0.030120483	0.96894675	0.0013401714	0.036671285	79.0	81.83438515663147
13	0.0	10.0	10.0	-10.0	57.303032	0.007858501	4.07679	12.615748	-13.463837	56000	-0.09547254	-0.0072266	40.69067	-1.7995872	0.030120483	0.030120483	0.9547252	0.0023016136	0.03812741	79.0	85.06583881378174
14	0.0	10.0	10.0	-10.0	52.767124	0.034038976	4.50268	13.56958	-13.045217	60000	-0.09418129	-0.0067497343	39.35815	-0.6671594	0.030120483	0.030120483	0.9418128	0.002291309	0.03862196	79.0	88.4730076789856
15	0.0	10.0	10.0	-10.0	51.661972	0.018899577	4.6389165	13.364988	-13.156007	64000	-0.09278262	-0.0062361583	39.02052	-0.3497162	0.030120483	0.030120483	0.927826	0.0022162644	0.033807244	79.0	91.91454720497131
16	0.0	10.0	10.0	-10.0	56.358208	0.10466259	4.667051	13.843886	-13.138773	68000	-0.091536246	-0.0058915727	39.092537	-0.29289755	0.030120483	0.030120483	0.91536254	0.0029174706	0.032245483	79.0	95.26205492019653
17	0.0	10.0	10.0	-10.0	62.66102	0.081350826	4.4720287	13.65262	-12.5334	72000	-0.09046364	-0.005509106	39.0499	-0.26509538	0.030120483	0.030120483	0.90463656	3.4198263e-05	0.030641755	79.0	98.66336822509766
18	0.0	10.0	10.0	-10.0	72.76471	0.07238577	4.5256715	13.9552145	-13.832112	76000	-0.08951529	-0.0052074143	38.95541	-0.2575105	0.030120483	0.030120483	0.89515275	0.0009432935	0.027968759	79.0	102.23860359191895
19	0.0	10.0	10.0	-10.0	73.40385	0.054412782	4.515783	12.9838	-13.080925	80000	-0.088635586	-0.00512857	38.969574	-0.24990463	0.030120483	0.030120483	0.88635606	0.0024753637	0.02757132	79.0	105.75097298622131
20	0.0	10.0	10.0	-10.0	69.36539	0.038735043	4.313509	13.576623	-13.316525	84000	-0.08769912	-0.004963311	38.887035	-0.23963101	0.13152611	0.13152611	0.87699145	0.00052517606	0.0264014	79.0	169.99074482917786
21	0.0	10.0	10.0	-10.0	78.702126	0.025435938	4.1456223	14.840622	-14.820755	88000	-0.0867962	-0.004824806	38.77351	-0.23925464	0.13152611	0.13152611	0.86796206	0.0023921954	0.024672398	79.0	173.53252506256104
22	0.0	10.0	10.0	-10.0	68.0	0.03404508	3.9995866	10.909222	-11.255888	92000	-0.085866384	-0.004712265	38.711704	-0.25017738	0.13152611	0.13152611	0.85866386	0.00065219804	0.024111068	79.0	177.21720480918884
23	0.0	10.0	10.0	-10.0	73.38	-0.007475493	4.05425	12.835544	-12.711245	96000	-0.08494718	-0.004571037	38.459126	-0.27518907	0.13152611	0.13152611	0.84947187	0.001115758	0.023387974	79.0	180.97031784057617
24	0.0	10.0	10.0	-10.0	71.48148	-0.02736684	4.0115457	13.015717	-12.748598	100000	-0.08409073	-0.0044657267	38.292183	-0.27941385	0.13152611	0.13152611	0.84090734	0.00039085394	0.022647649	79.0	184.68234491348267
25	0.0	10.0	10.0	-10.0	73.411766	-0.014770864	3.8830495	11.941647	-11.991131	104000	-0.083230175	-0.0043715723	37.967754	-0.28340086	0.13152611	0.13152611	0.8323018	0.0018949107	0.021439709	79.0	188.4604730606079
26	0.0	10.0	10.0	-10.0	74.56863	-0.029999517	3.8709345	12.320764	-13.338927	108000	-0.08231709	-0.0043228306	37.748196	-0.2753118	0.13152611	0.13152611	0.82317114	0.0012672289	0.021651281	79.0	192.27877163887024
27	0.0	10.0	10.0	-10.0	77.833336	-0.03710671	3.893671	12.487975	-13.063092	112000	-0.08144743	-0.0042663007	37.595387	-0.24639384	0.13152611	0.13152611	0.8144744	0.0006115606	0.021226585	79.0	196.16467356681824
28	0.0	10.0	10.0	-10.0	78.875	-0.014704606	3.810067	12.866857	-13.133172	116000	-0.08056905	-0.004232701	37.40797	-0.21664047	0.13152611	0.13152611	0.8056906	0.0006399311	0.021883955	79.0	200.0925543308258
29	0.0	10.0	10.0	-10.0	97.07895	-0.031485625	3.5564585	11.243321	-11.800917	120000	-0.07956458	-0.0041539483	37.165894	-0.19340515	0.13152611	0.13152611	0.7956459	-0.00020548073	0.021225393	79.0	204.1876802444458
30	0.0	10.0	10.0	-10.0	89.78049	-0.013663417	3.4254107	11.523645	-10.847009	124000	-0.07852445	-0.0041090795	36.875324	-0.16840045	0.19678716	0.19829316	0.7852444	0.00059592794	0.021053312	79.0	281.3593430519104
31	0.0	10.0	10.0	-10.0	78.36957	-0.027980158	3.4051573	11.8076515	-12.042269	128000	-0.07757995	-0.004049691	36.66162	-0.14976883	0.19678716	0.19829316	0.77579945	0.00045782587	0.021193067	79.0	285.59224700927734
32	0.0	10.0	10.0	-10.0	87.90476	0.010961626	3.3948088	11.577074	-11.675307	132000	-0.07668758	-0.0039792173	36.454678	-0.14125188	0.19678716	0.19829316	0.7668758	0.0009612027	0.020566022	79.0	289.89620184898376
33	0.0	10.0	10.0	-10.0	105.088234	-0.013978678	3.2152913	10.860912	-12.058202	136000	-0.07579217	-0.0038853996	36.178474	-0.121629715	0.19678716	0.19829316	0.7579217	0.00037375986	0.01975137	79.0	294.53868341445923
34	0.0	10.0	10.0	-10.0	129.46153	-0.0010980219	3.3264863	12.625491	-12.774238	140000	-0.074916124	-0.0038542065	35.80672	-0.111166	0.19678716	0.19829316	0.7491614	0.0004210152	0.02027742	79.0	298.91897678375244
