Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
22	0.0	10.0	10.0	-10.0	73.2	0.040467545	4.023968	13.128267	-12.62191	92000	-0.08785347	-0.00444562	38.199337	-0.28348222	0.11746988	0.11746988	0.8785346	0.0002402015	0.02118967	79.0	179.8933825492859
23	0.0	10.0	10.0	-10.0	75.94118	-0.01885932	3.9165606	13.677435	-12.999492	96000	-0.08715401	-0.0043956614	37.97813	-0.27682558	0.11746988	0.11746988	0.87154025	0.00062108034	0.020296337	79.0	183.68412351608276
24	0.0	10.0	10.0	-10.0	73.40385	0.0068263006	3.8913136	13.696608	-12.933649	100000	-0.08658125	-0.004303822	37.73035	-0.24984805	0.11746988	0.11746988	0.8658127	0.00060043175	0.019304303	79.0	187.50776648521423
25	0.0	10.0	10.0	-10.0	69.32727	0.015159968	3.807607	13.545847	-12.784324	104000	-0.08591763	-0.0042723417	37.495426	-0.21492068	0.11746988	0.11746988	0.85917616	8.764021e-05	0.018970894	79.0	191.32147407531738
26	0.0	10.0	10.0	-10.0	92.025	0.013423469	3.6554487	13.338671	-13.016448	108000	-0.08526471	-0.004195232	37.222126	-0.1867377	0.11746988	0.11746988	0.85264724	0.0010776502	0.018634375	79.0	195.0876588821411
27	0.0	10.0	10.0	-10.0	81.152176	0.018959504	3.7397523	14.210183	-13.365475	112000	-0.084523566	-0.0041063353	36.992184	-0.17572086	0.11746988	0.11746988	0.84523565	0.0007356042	0.017852673	79.0	199.01837730407715
28	0.0	10.0	10.0	-10.0	97.60526	-0.010869091	3.502002	12.82398	-12.835319	116000	-0.083830215	-0.004074288	36.709183	-0.16462517	0.11746988	0.11746988	0.8383023	0.00084827904	0.018164717	79.0	202.90539979934692
29	0.0	10.0	10.0	-10.0	76.72	0.032955788	3.6610925	12.524245	-12.728885	120000	-0.08313391	-0.004041335	36.535126	-0.14561844	0.11746988	0.11746988	0.83133894	0.00066636543	0.018147314	79.0	206.84131455421448
30	0.0	10.0	10.0	-10.0	83.21429	-0.005695615	3.4848258	13.727643	-11.8052845	124000	-0.08237356	-0.0040064366	36.29399	-0.122245155	0.15963857	0.16014056	0.82373554	0.0014255374	0.017634569	79.0	278.3935327529907
31	0.0	10.0	10.0	-10.0	102.55556	0.033101603	3.2536857	11.951953	-11.8482685	128000	-0.081672065	-0.0039820075	36.047035	-0.104081474	0.15963857	0.16014056	0.8167205	0.00086931913	0.017885074	79.0	282.6508445739746
